BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
IMAGINAL,SLOT1,VISUAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT1,VISUAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT1,VISUAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT1,GOAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT1,-6.8962255
IMAGINAL,SLOT1,GOAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT2,-3.6586025
IMAGINAL,SLOT1,GOAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT3,-6.3926897
IMAGINAL,SLOT1,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT1,-4.410136
IMAGINAL,SLOT1,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT2,-2.9442043
IMAGINAL,SLOT1,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT3,-6.3560777
IMAGINAL,SLOT1,MANUAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT1,0.8108531
IMAGINAL,SLOT1,MANUAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT2,-0.1837943
IMAGINAL,SLOT1,MANUAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT3,-0.0055611865
IMAGINAL,SLOT2,VISUAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT2,VISUAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT2,VISUAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT2,GOAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT1,-5.4544864
IMAGINAL,SLOT2,GOAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT2,-5.7077503
IMAGINAL,SLOT2,GOAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT3,-5.1021595
IMAGINAL,SLOT2,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT1,-4.4562416
IMAGINAL,SLOT2,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT2,-3.1254225
IMAGINAL,SLOT2,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT3,-3.8891764
IMAGINAL,SLOT2,MANUAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT1,0.24064158
IMAGINAL,SLOT2,MANUAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT2,0.10018291
IMAGINAL,SLOT2,MANUAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT3,0.27851376
IMAGINAL,SLOT3,VISUAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT3,VISUAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT3,VISUAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT3,GOAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT1,-5.0037465
IMAGINAL,SLOT3,GOAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT2,-6.099698
IMAGINAL,SLOT3,GOAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT3,-5.125227
IMAGINAL,SLOT3,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT1,-4.678236
IMAGINAL,SLOT3,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT2,-5.2599554
IMAGINAL,SLOT3,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT3,-4.1956706
