BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
IMAGINAL,SLOT1,VISUAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT1,VISUAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT1,VISUAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT1,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT1,GOAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT1,-11.852218
IMAGINAL,SLOT1,GOAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT2,-11.161486
IMAGINAL,SLOT1,GOAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-GOAL-SLOT3,-12.197889
IMAGINAL,SLOT1,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT1,-12.189426
IMAGINAL,SLOT1,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT2,-11.860649
IMAGINAL,SLOT1,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-RETRIEVAL-SLOT3,-12.471779
IMAGINAL,SLOT1,MANUAL,SLOT1,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT1,NIL
IMAGINAL,SLOT1,MANUAL,SLOT2,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT2,NIL
IMAGINAL,SLOT1,MANUAL,SLOT3,FROM-IMAGINAL-SLOT1-TO-MANUAL-SLOT3,NIL
IMAGINAL,SLOT2,VISUAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT2,VISUAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT2,VISUAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT2,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT2,GOAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT1,-12.591931
IMAGINAL,SLOT2,GOAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT2,-12.193839
IMAGINAL,SLOT2,GOAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-GOAL-SLOT3,-12.446125
IMAGINAL,SLOT2,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT1,-12.863403
IMAGINAL,SLOT2,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT2,-12.713266
IMAGINAL,SLOT2,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-RETRIEVAL-SLOT3,-12.621319
IMAGINAL,SLOT2,MANUAL,SLOT1,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT1,0.20018649
IMAGINAL,SLOT2,MANUAL,SLOT2,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT2,0.06308379
IMAGINAL,SLOT2,MANUAL,SLOT3,FROM-IMAGINAL-SLOT2-TO-MANUAL-SLOT3,-0.029316513
IMAGINAL,SLOT3,VISUAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT1,NA
IMAGINAL,SLOT3,VISUAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT2,NA
IMAGINAL,SLOT3,VISUAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-VISUAL-SLOT3,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT1,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT2,NA
IMAGINAL,SLOT3,IMAGINAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-IMAGINAL-SLOT3,NA
IMAGINAL,SLOT3,GOAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT1,-13.164415
IMAGINAL,SLOT3,GOAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT2,-12.850373
IMAGINAL,SLOT3,GOAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-GOAL-SLOT3,-12.543375
IMAGINAL,SLOT3,RETRIEVAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT1,-12.609859
IMAGINAL,SLOT3,RETRIEVAL,SLOT2,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT2,-12.644004
IMAGINAL,SLOT3,RETRIEVAL,SLOT3,FROM-IMAGINAL-SLOT3-TO-RETRIEVAL-SLOT3,-12.554571
IMAGINAL,SLOT3,MANUAL,SLOT1,FROM-IMAGINAL-SLOT3-TO-MANUAL-SLOT1,0.09188849
